% This Database was generated from ergane (http://www.travlang.com).   Copyright (C) 1999 Horst Eyermann (Horst@freedict.de)    This program is free software /  you can redistribute it and/or modify   it under the terms of the GNU General Public License as published by   the Free Software Foundation /  either version 2 of the License, or   (at your option) any later version.    This program is distributed in the hope that it will be useful,   but WITHOUT ANY WARRANTY /  without even the implied warranty of   MERCHANTABILITY or FITNESS FOR A PARTICULAR PURPOSE. See the   GNU General Public License for more details. 


ADN ; DNA

astral ; sideral /  star /  star‐ /  of a star

astre ; heavenly body

astrologie ; astrology

astrologue ; astrologer

astronaute ; astronaut /  spaceman

astronome ; astronomer

astronomie ; astronomy

astronomique ; astronomic /  astronomical

astucieux ; clever /  cunning /  sly /  smart

astérisque ; asterisk

astéroïde ; asteroid

asymétrique ; asymmetric /  asymmetrical /  dissymmetric

atavisme ; atavism /  throw‐back

atelier ; atelier /  studio /  work‐room /  workshop ; workplace ; workshop

athlétique ; athletic

athlétisme ; athletics

athlète ; athlete

athée ; atheist

athéisme ; atheism

athénien ; Athenian

atlantique ; Atlantean ; Atlantic

atmosphère ; agreement ; atmosphere

atmosphèrique ; atmospheric

atoll ; atoll

atome ; atom

atomique ; atomic

atout ; trump

atroce ; cruel ; horrible

atrocité ; abhorrence /  abomination /  atrocity /  horror

atrophie ; atrophy

attachant ; attractive

attachement ; adherence /  attachment

attacher ; stick to the pan ; attach /  determine /  fasten /  fix /  affix /  make fast /  secure ; bind /  connect /  join /  tie /  tie up

attaché ; affectionate /  devoted /  selfless ; devoted /  selfless

attaquant ; aggressor /  assailant /  attacker

attaque ; access /  aggression /  attack

attaquer ; commit aggression ; assault /  attack

atteindre ; accomplish /  achieve /  attain /  get /  reach ; catch /  hit /  run across /  strike

atteler ; harness

attendre ; abide /  expect /  wait /  await /  wait for

attendrissant ; affecting /  moving /  touching

attendu que ; because /  for the reason that ; as /  because /  for /  since

attentat ; assault

attente ; expectation

attenter ; assault /  violate

attentif ; attentive

attention ; acuity /  advertence /  advertency /  attention

attentivement ; attentively

atterrir ; land

attester ; attest /  bear witness of /  testify

attirant ; attractive

attirer ; attract ; attract /  decoy /  lure

attitude ; attitude

attraper ; capture /  catch /  grapple

attrayant ; attractive

attribuer ; assign ; accredit

attribut ; attribute

attrister ; afflict /  distress /  grieve

au‐delà de ; beyond /  by /  past /  straight past ; across /  beyond /  on the other side of

au‐dessus de ; above /  over

au ; the /  to the

aubade ; aubade

aube ; dawn /  daybreak

auberge ; hostel /  inn

aubergiste ; hostess /  landlady ; host /  innkeeper /  landlord

audace ; audacity /  boldness /  daring

audacieux ; audacious /  bold /  daring /  intrepid

audience ; audience ; audience /  auditory

auditeur ; listener

auditoire ; audience /  auditory

auditorium ; auditory

auge ; manger /  trough

augmenter ; accrue /  grow ; aggrandize /  augment /  enlarge /  increase ; accrue /  increase ; increase ; augment /  grow /  increase

augure ; indication /  omen /  presage /  portent /  sign

augurer ; forecast /  foretell /  prophesy

aujourd'hui ; today

aulne ; alder

aumône ; alms /  charity

aumônier ; chaplain /  army chaplain /  padre

auparavant ; ahead /  formerly /  previously

auprès ; close /  near /  nearby

auquel ; whom

aura ; aura

aurochs ; aurochs

aurore ; aurora /  dawn ; red of dawn ; dawn /  daybreak

auréole ; aureole /  halo

aussi ; also /  likewise /  too ; on that account /  therefore ; as /  so /  that

aussitôt ; at once /  instantly /  immediately /  without delay ; at once /  immediately /  just /  right away /  right now

austral ; south /  southern

australien ; Australian

austérité ; severity /  rigour /  sterness

austère ; severe /  strict

autant ; such /  such a /  that kind of ; that much

autarcie ; autarky /  self‐sufficiency

autel ; altar

auteur ; author ; author /  writer

authentique ; authentic

autisme ; autism

autistique ; autistic

auto ; car

autobiographie ; autobiography

autobiographique ; autobiographical

autobus ; bus /  autobus /  omnibus

autochtone ; indigenous /  native

autocrate ; absolute ruler /  autocrat

autocratie ; absolute power /  absolute rule /  autocracy

autocratique ; autocratic

autodidacte ; autodidact /  self‐taught man

autogène ; autogenous

automate ; automoton

automatique ; automatic

automatiquement ; automatically

automatiser ; automate

automnal ; autumn

automne ; autumn

automobilisme ; motoring

automobiliste ; motorist

autonome ; autonomic /  autonomous

autonomie ; autonomy

autopsie ; autopsy

autorisation ; permission ; authorization

autoriser ; authorize

autoritaire ; authorative

autorité ; authority

autoroute ; motor road /  motorway ; expressway /  freeway ; motor road /  motorway

autostrade ; motor road /  motorway

autour ; hawk ; roundabout /  thereabout /  thereabouts

autour de ; about /  round /  around /  towards

autre ; other /  another /  else ; additional /  remaining /  rest of

autrefois ; ahead /  formerly /  previously

autrement ; differently

autrichien ; Austrian

autruche ; ostrich

autrui ; another /  another man

aux ; the /  to the

auxiliaire ; accessory /  adventitious /  secondary ; incidental /  side ; auxilary

aux bords de ; about /  approximately

au bord de ; at /  beside /  with

au commencement ; first /  firstly /  first of all

au lieu de ; instead of

au milieu de ; among /  between ; among /  amidst /  in the middle of

au milie de ; a /  in /  inside /  into /  on /  per /  within

au moins ; at least

au moyen de ; by /  by means of /  on /  through /  with

au repos ; motionless

au revoir ; bye /  goodbye /  so long

au sujet de ; about /  concerning /  on /  upon

avalanche ; avalanche

avaler ; swallow

avancement ; acceleration ; promotion

avancer ; advance /  go forward ; precede ; advance /  progress

avant‐bras ; lower‐arm

avant‐garde ; avant‐garde

avant‐hier ; the day before yesterday

avant ; before /  in front of

avantage ; advantage /  benefit ; gain /  profit

avantageux ; advantageous

avare ; avaricious /  miserly /  stingy

avarice ; avarice /  miserliness /  stinginess

avaricieux ; avaricious /  miserly /  stingy

avarie ; damage

avec ; with

avenir ; future

avent ; advent

aventure ; adventure

aventurer ; dare ; hazard /  risk /  venture

avenue ; avenue

aversion ; abhorrence /  abomination /  horror

avertir ; caution /  warn

avertisseur ; hooter /  horn /  klaxon

aveu ; acknowledgement /  admission /  confession

aveugle ; blind ; blind /  sightless person

aveugler ; dazzle

aviateur ; airman /  aviator

aviation ; aeronautics /  aviation

avide ; acquisitive /  eager /  greedy

avidité ; alacrity /  avidity /  covetousness /  eagerness /  greediness

avion ; aeroplane /  airplane /  plane

avion à réaction ; jet plane

aviron ; oar

avis ; advice /  counsel ; opinion

avisé ; acute /  astute /  shrewd

avocat ; advocate ; barrister /  barrister‐at‐law /  counsel ; intercessor /  lawyer /  solicitor

avocat conseil ; intercessor /  lawyer /  solicitor

avoine ; oats

avoir ; have /  have got ; wear

avoir besoin de ; need /  require

avoir coutume ; accustom /  be in the habit of

avoir en abomination ; abhor /  abominate /  loathe

avoir faim ; be hungry

avoir honte ; be ashamed

avoir le hoquet ; hiccup

avoir lieu ; come about /  happen /  occur

avoir l'air de ; appear /  look

avoir l'habitude de ; accustom /  be in the habit of

avoir peur ; be afraid of /  fear

avoir pitié ; have compassion on /  pity

avoir pour but ; aim /  intend

avoir soif ; be thirsty

avoir soin de ; care /  see /  take care /  worry

avoir une dette ; owe

avoir un accident ; have an accident

avortement ; abortion ; abortion /  miscarriage

avortement provoqué ; abortion

avortement spontané ; abortion /  miscarriage

avorter ; abort /  miscarry

avorteur ; abortionist

avouer ; acknowledge /  admit /  confess /  profess

avril ; April

axe ; axis /  axle

axiome ; axiom

ayant le mal de l'air ; airsick

azalée ; azalea

azimut ; azimuth

azote ; nitrogen

aztèque ; Aztec

azur ; sky blue

aïe ; ouch /  ow ; woe

aïeul ; grandfather

aïeule ; grandmother

aérateur ; electric fan /  ventilator

aérer ; aerate /  air out /  give an airing /  ventilate ; ventilate

aérien ; aerial /  overground /  overhead

aérodrome ; aerodrome /  airdrome /  airfield

aérodynamique ; aerodynamic ; aerodynamics

aérogramme ; aerogramme /  air letter ; air letter /  aerogramme

aérolithe ; meteoric stone ; aerolite /  meteorite

aéronaute ; aeronaut

aéronautique ; aeronautics

aéronef ; aircraft

aéroplane ; aeroplane /  airplane /  plane

aéroport ; airport

aérosol ; aerosol

aérostat ; balloon /  air‐balloon

babil ; chat

babilage ; chat

babillard ; chatterbox /  tattler /  telltale

babiller ; chat /  chatter

babiole ; trifle

babouin ; baboon

baby‐sitter ; babysitter

babylonien ; Babylonian

bac ; box /  chest ; ferry ; jug /  box /  container /  vessel

baccalauréat ; leaving certificate ; leaving examination

bactérie ; bacterium

badauder ; gape /  gawk

badinage ; gag /  joke

badine ; rod /  switch /  wand

badiner ; jest /  joke

bafouer ; jeer at /  make fun of /  mock

bafouiller ; stammer /  stutter

bagage ; baggage /  luggage

bagagiste ; porter

bagarre ; affray ; scuffle ; agitation /  riot /  tumult

bagarreur ; truculent

bagasse ; bagasse

bagatelle ; love /  sexual love ; trifle ; sex

bagnole ; car ; vehicle

bague ; ring

baguette ; rod /  switch /  wand

bai ; sorrel

baie ; berry ; bay

baie Chiyask ; Chiyask Bay

baie Georgienne ; Georgian Bay

baie James ; James Bay

baie chez Lepage ; Boundary Bay

baie des Chaleurs ; Chaleur Bay

baie de Baffin ; Baffin Bay

baie de Fundy ; Bay of Fundy

baie d'Hudson ; Hudson Bay

baie d'Ungava ; Ungava Bay

baigner ; bathe

baignoire ; bath

bail ; farm

bailler ; give

bailli ; taskmaster

bain ; bath

baiser ; fuck /  screw ; kiss ; have sex

baisser ; lower ; descend /  go down

bakélite ; bakelite

bal ; ball /  dance

baladeuse ; trailer

baladin ; buffoon /  jester

balafre ; scar ; slice ; cut

balai ; broom

balalaïka ; balalaika

balance ; weight

balancer ; rock /  swing

balayer ; sweep

balbutier ; stammer /  stutter

balcon ; balcony

baldaquin ; baldachin /  canopy

baleine ; whale

balinais ; Balinese

balise ; buoy

balistique ; ballistics

ballade ; ballad /  ballade

ballast ; ballast

balle ; bullet ; ball

ballerine ; ballerina /  ballet dancer /  ballet girl

ballet ; ballet

balle de fusil ; bullet

ballon ; balloon /  air‐balloon ; balloon ; football /  soccer ball

ballon de football ; football /  soccer ball

balsamine ; balsam

balte ; Baltic

balustrade ; balustrade /  banisters /  parapet /  railing

bambou ; bamboo

bamboucher ; debauch

banal ; commonplace /  dismal /  trite

banane ; banana

bananier ; banana plant /  banana‐plant

banc ; bench

bandage ; bandage

bande ; bevy /  collection /  group /  heap /  herd /  set ; band /  bevy /  gang ; binding /  strip /  tape ; ray /  strip /  stripe

bandeau ; binding /  strip /  tape

bander ; strech /  wind up

banderole ; wrapper

bande vidéo ; video‐tape

bandit ; bandit

banian ; banyan

banjo ; banjo

banni ; exile

bannir ; exile

bannissement ; exile

banque ; bank

banqueroute ; bankruptcy /  failure

banquet ; banquet

banqueter ; banquet /  feast

banquette ; small bench /  stool

banquier ; banker /  bank manager ; bank clerk /  bank official

bantou ; Bantu

baobab ; baobab

baptiser ; baptize /  christen

baptiste ; baptist

baptistère ; baptistery

baptême ; baptism /  christening

baquet ; tub /  vat ; jug /  box /  container /  vessel

bar ; bar /  barrier ; buffet

baraque ; barrack /  barn /  shack /  shanty /  shed

baratter ; churn

barbare ; barbaric ; barbarian

barbaresque ; barbaric

barbarie ; barbarity /  barbarousness

barbarisme ; barbarism

barbe ; beard

barbeau ; barbel ; cornflower

barbier ; barber

barboter ; paddle ; lap /  plash /  splash

barbu ; bearded

barbue ; rhombus

bardane ; burr

barde ; bard

bardot ; hinny

barge ; barge

barguigner ; hesitate ; hesitate /  waver

barman ; barman /  bartender

baromètre ; barometer

baron ; baron

baronne ; baroness

baronnie ; barony

baroque ; baroque

baroud ; scuffle

barouf ; agitation /  riot /  tumult

baroufle ; agitation /  riot /  tumult

barque ; bark /  barque ; boat

barquette ; little boat

barre ; pole /  rod

barreau ; pole /  rod

barrer ; bar /  obstruct ; cross out /  strike out

barricade ; barricade

barricader ; barricade

barrière ; barrier /  fence

baryton ; baritone

baryum ; barium

bas‐relief ; bas‐relief /  low relief

bas‐ventre ; abdomen

bas ; stocking

basalte ; basalt /  whimstone

bascule ; weighing machine

base‐ball ; baseball

baser ; base

basilic ; basil

basilique ; basilica

basique ; basic

basket‐ball ; basketball

basque ; Basque

bassin ; basin /  bowl /  pelvis

bassine ; tub /  vat

bastille ; fortress

bastion ; bastion

bataille ; action /  battle /  scuffle /  struggle ; blow

batailler ; fight /  struggle

batailleur ; truculent

batave ; Batavian

bateau ; boat ; ship /  vessel

bath ; pretty

batifoler ; frolic

batiker ; batik

batiste ; batiste /  cambric /  lawn

batterie ; battery

battre ; beat /  hit /  strike ; thresh ; curl /  froth /  stir /  whip /  whirl

baudet ; ass /  donkey

baume ; balm /  balsam

bauxite ; bauxite

bavard ; chatterbox /  tattler /  telltale

bavardage ; chat

bavarder ; chat /  chatter

bavarois ; Bavarian

bave ; saliva

baver ; salivate

bayer aux corneilles ; gape /  gawk

bazar ; bazaar /  fair /  market

bazooka ; anti‐tank gun /  bazooka

baïonnette ; bayonet

beau‐fils ; son‐in‐law

beau ; beautiful /  fine /  handsome /  lovely

beaucoup ; a lot of /  much ; a lot ; frequently /  often /  regularly

beaucoup de ; a lot of /  much /  plenty of

beauté ; beauty ; beautiful woman /  beauty

beaux‐parents ; parents‐in‐law

bec ; beak /  bill

beige ; beige

belette ; weasel

belge ; Belgian

belladone ; belladonna

belles‐lettres ; belles‐lettres

bengali ; Bengal

benzène ; benzene

berce ; cow parsnip /  hogweed

bercer ; lull /  rock

berlinois ; Berlin

bernois ; Bernese

besoin d'activité ; activity

betterave ; beet

beurre ; butter

biberon ; baby's bottle /  feeding‐bottle

bibliothèque ; library ; bookcase

biche ; doe /  hind

bicyclette ; bike /  cycle /  bicycle ; bike /  bicycle

bien ; estate /  farm /  property /  ranch ; okay /  well ; yes ; quite /  very /  very much

bientôt ; soon

bienvenue ; welcome

bien entendu ; of course

bien sûr ; naturally

biffer ; cross out /  strike out

bifteck ; steak /  beefsteak

bigarré ; multicoloured

bijou ; jewel

bijoutier ; jeweller

bikini ; bikini

bile ; bile /  gall

billet ; bill /  ticket /  note

birman ; Burmese

biscuit ; biscuit /  cookie

bison ; bison /  buffalo

bitte ; cock /  prick

bizarre ; bizarre /  odd /  weird

bière ; ale /  beer

blague ; sly joke

blanc ; white ; pure

blasphémer ; blaspheme /  cuss /  curse /  swear

blatte ; cockroach

blesser ; hurt /  wound

blessure ; injury /  wound

blessé ; winged /  wounded

bleu ; blue

bleuet ; cornflower

bloc ; block /  pad ; lump /  mass

blond ; blond /  fair

blouse ; blouse

blouse longue ; overalls /  smock

boa ; boa

bobine ; bobbin /  coil /  spool

bohémien ; Bohemian

boire ; drink

bois ; forest /  woods ; timber /  wood

boisson ; beverage /  drink

boiteux ; lame

boite à echo ; resonance‐box

bol ; basin /  reservoir ; basin /  bowl /  pelvis

bolivien ; Bolivian

bombarder ; bombard

bombe ; bomb

bombe atomique ; atom bomb

bombe à incendie ; incendiary bomb

bon ; good /  nice /  okay

bonbon ; bonbon /  bon‐bon

bonjour ; good morning ; good day

bonnet ; cap

bonne nuit ; good night

bonsoir ; good evening

bord ; coast /  seaside /  shore ; border /  brim /  brink /  edge /  edging /  fringe /  rim

bordel ; brothel ; bawdy /  brothel /  house of ill fame /  whorehouse

bosniaque ; Bosnian

bosnien ; Bosnian

bosse ; bump /  hump

bossu ; hunch‐backed ; hunchback

botte ; boot

bouc ; he‐goat

bouche ; mouth

boucher ; butcher ; block /  clog /  plug up /  stop up

boucherie ; butcher's shop

bouchon ; plug /  electric plug /  stopper

bouchon de liège ; cork

boucler ; gird

boucle de vêtement ; buckle

bouddhisme ; Buddhism

bouddhiste ; Buddhist

bouder ; ignore /  leave out of account

boue ; mud

bougie ; candle ; plug /  spark plug

bougie électrique ; plug /  spark plug

bougnoul ; nigger

bouillie ; gruel /  mess /  mush

bouillir ; boil

bouillon ; bouillon

boulanger ; baker

boulangerie ; bakery

boule ; chunk /  clod /  lump

bouleau ; birch

boulevard ; boulevard

boulier ; abacus /  ball‐frame /  counting‐frame

bouquet ; bouquet

bouquin ; buck /  buck‐rabbit ; buck /  buck‐hare

bourdon ; bumblebee

bourdonner ; buzz /  hum

bourgeois ; middleclass citizen

bourse du travail ; employment exchange /  labor exchange /  labour exchange

boussole ; compass

bout ; end /  ending ; peak /  point /  tip /  summit

bouteille ; bottle

boutique ; boutique /  shop /  store

bouton ; pimple ; button

boxer ; box

boîte ; box

boîte aux lettres ; letterbox /  mailbox

brabançon ; Brabantine

branche ; bough /  branch ; section

branchie ; gill

brandir ; brandish /  fling /  swing /  wave /  wave about

bras ; arm

braser ; solder

bras supérieur ; upper arm /  upper‐arm

brave ; brave /  gallant

bretelles ; braces /  suspenders

bride ; bridle /  check /  restraints

briller ; shine

brique ; brick

briser ; crush /  shatter /  smash ; break

britannique ; British

brochet ; pike

brochure ; leaflet /  pamphlet /  paperback

broder ; embroider

brosse ; brush

brosse à dents ; tooth‐brush

brouette ; wheelbarrow

brouillard ; fog /  mist

brouiller ; befog /  cloud /  dim ; disquiet /  interfere with /  perturb

broyer ; crush /  pound

bruine ; drizzle /  drizzling rain

brun ; brown ; black

brusquement ; abruptly

brut ; crude /  raw /  rough

bruxellois ; Brussels

bruyère ; heath

brésilien ; Brazilian

brèche ; breach /  gap

brûler ; glow /  glow with heat ; burn

brûlé ; burnt

bubale ; buffalo

buffet ; buffet ; larder /  pantry /  store‐cupboard

buffle ; buffalo

bulbe ; bulb

bulgare ; Bulgarian

bulldozer ; bulldozer

bulle ; bladder /  bubble

bulletin ; bulletin

bureau ; office ; bureau /  office

bureau de poste ; post office

buriner ; carve /  chisel

but ; aim /  goal /  purpose /  target

butter ; earth /  earth up /  hill /  hill up

byte ; byte

byzantin ; Byzantine

bœuf ; beef ; bovine /  bovine animal ; ox

bébé ; baby

bébête ; dull /  stupid

bécane ; bike /  cycle /  bicycle ; bike /  bicycle

béer ; gape /  gawk

bégayer ; stammer /  stutter

bégonia ; begonia

bégueule ; prudish ; prude

béguinage ; beguinage

béguine ; beguine

bélier ; ram /  tup

bénir ; bless

bénéfice ; benefit /  gain /  profit

béryllium ; beryllium

béton ; concrete

bâbord ; port side

bâillement ; yawn

bâiller ; yawn

bâtard ; bastard

bâtiment ; building

bâtir ; build /  construct

bâtisseur ; builder

bâton ; baton /  cane /  stick ; pole /  rod

bâtonnet ; stick /  little stick

bêche ; spade

bêler ; bleat

bête ; animal /  beast

bûche ; block /  chunk of wood

cabane ; cabin /  hut /  shack

cabine ; cabin

cabinet ; toilet

cabinet noir ; dark‐room /  small room

cabine de bain ; bathing box

cabine de bateau ; cabin

cabine téléphonique ; call box /  telephone kiosk /  phone booth /  telephone booth

cacahouète ; peanut

cacahuète ; peanut

cacao ; cocoa

cacher ; conceal /  hide

cachet ; mark

cachot ; cell

cactus ; cactus

cadavre ; cadaver /  corpse

cadeau ; gift /  present

cadre ; cadre /  frame /  framework

caduc ; decayed /  decrepit /  dilapidated /  lapsed /  rickety

cafard ; cockroach

cafetière ; coffee‐pot

café ; café /  coffee‐house ; coffee

cage ; cage

cahier ; exercise‐book /  folder /  notebook

caille ; quail

caillette ; rennet‐stomach

caisse ; cashier's stand /  fund /  money box /  money‐box /  till ; box /  chest

calame ; calamus

calcium ; calcium

calculer ; calculate /  count /  figure /  work out

cale ; wedge

calendrier ; calendar

calendula ; marigold

caleçon ; drawers /  panties /  underpants

californien ; Californian

calme ; calm /  quiet ; calm /  tranquil

calomnier ; slander

camarade ; buddy /  companion /  comrade /  pal

cambodgien ; Cambodian

camerounais ; Cameroon

camion ; lorry /  truck

camp ; camping ground /  camping site ; camp of tents /  tented camp

campagne ; campaign ; country /  countryside

caméra ; camera

canadien ; Canadian

canaille ; rogue /  scoundrel

canal ; canal /  channel

canapé ; couch /  sofa

canard ; duck

canard mâle ; drake

canari ; canary

cancaner ; gossip

cancer ; cancer /  canker

candidat ; candidate

canne ; baton /  cane /  stick ; fishing rod

cannelure ; slot

canon ; cannon

caoutchouc ; rubber

cap ; cape

capable ; able /  capable

capacité ; ability

capitaine ; captain

capital ; capital

capote ; coat /  overcoat

caprice ; caprice /  whim

captivant ; exciting ; absorbing

capturer ; capture /  catch /  grapple

capucine ; nasturtium

car ; because /  for the reason that ; as /  because /  for /  since

caractère ; character /  nature /  personality

carbone ; carbon

carotte ; carrot

carpe ; carp

carreau ; tile

carte ; map ; card /  map /  menu ; map ; menu

carte postale ; postcard

carthaginois ; Carthaginian

carton ; cardboard

cas ; affair /  case /  matter

cascade ; waterfall

caserne ; barracks

casquette ; cap

casserole ; casserole /  saucepan

cassette ; cassette ; treasure

castillan ; Castillian

castor ; beaver

catalan ; Catalonian

catastrophe ; catastrophe

cathédrale ; cathedral

catégorie ; category

cause ; cause /  reason

causer ; activate /  cause /  give rise to ; cause /  cause to take place

cautionner ; guarantee /  warrant

cave ; basement /  cellar

ce ; that /  thatoverthere /  those

ceci ; these /  this /  this here

ceinture ; belt /  girdle

cela ; that /  thatoverthere /  those

celle‐ci ; this

cellule ; cell

celte ; Celtic

celtique ; Celtic

celui‐ci ; this

celui ; that /  that one

cendre ; ash /  cinder

cendrier ; ashtray

censurer ; censor

cent ; hundred /  one hundred

central ; exchange /  power station

centrale ; exchange /  power station

centre ; centre ; core /  nucleus /  kernel /  pit ; average /  mean /  middle

cependant ; but /  however /  nevertheless /  yet

cercle ; circle

cercueil ; coffin

cerf ; deer

cerise ; cherry

cerisier ; cherry‐tree

certain ; certain /  sure

certainement ; certainly

certes ; certainly /  indeed /  rather /  surely

certifier ; affirm /  assure

cerveau ; brain

cervelle ; brain

cesser ; accomodate /  end /  finish /  terminate ; cease /  stop

ceylanais ; Ceylonese

ce matin ; this morning

ce soir ; this evening

chacal ; jackal

chacun ; everybody /  every one

chagrin ; affliction

chagriner ; annoy /  grieve /  vex /  worry

chair ; flesh

chaise ; chair

chambre ; chamber /  room

chambre de travail ; lying‐in room

chambre à coucher ; bedroom

chameau ; camel

chamois ; chamois

champ ; field

champagne ; champagne

champignon ; mushroom

champion ; champion

chance ; chance /  luck

chandail ; pullover sweater

chandelle ; candle

changement d'adresse ; change of address

changer ; change /  turn

chanson ; chanson

chanter ; sing

chanteur ; singer

chanteuse ; singer /  female singer

chaos ; chaos /  tangle

chapeau ; hat

chaperonner ; chaperon /  squire

chapitre ; chapter

chaque ; each /  every

chaque jour ; daily

chaque semaine ; weekly

char ; tank ; cart /  chariot

charbon ; coal

chardon ; thisle

chardonneret ; goldfinch

charger ; entrust /  tell ; charge /  load

chariot ; cart /  chariot

charitable ; humane

charlatan ; charlatan /  imposter /  quack

charmant ; charming /  lovely

charme ; grace /  gracefulness ; hornbeam ; sorcery

charnière ; hinge

charpenter ; build /  build from wood

charrette ; cart /  chariot

charrue ; plough

chasser ; chase /  hunt

chasseur ; hunter

chaste ; chaste

chat ; cat

chatouiller ; tickle

chatte ; cunt /  pussy

chaud ; warm

chaudement ; warmly

chaudron ; boiler /  cauldron /  kettle

chauffage ; heating

chauffer ; heat /  stoke

chauffeur ; chauffeur /  driver

chaume ; blade /  stalk

chaumière ; cabin /  hut /  shack

chaussette ; sock ; stocking

chaussure ; shoe

chaussée ; highway

chauve‐souris ; bat

chauve ; bald

chaux ; lime

chaîne ; fetter /  shackle ; chain

chaîne Côtière ; Coast Mountains

chef ; chef ; chief /  boss

chemin ; path /  road /  way ; path ; road /  route /  way

cheminée ; fireplace /  hearth

chemin de fer ; railroad /  railway

chemise ; folder ; shirt

chenal Opimica ; Opimika Narrows

chenal Raft ; Raft Channel

chenal de la Culbute ; Culbute Channel

chenille ; caterpillar

cher ; dear /  expensive /  valuable ; costly /  dear /  expensive /  pricey

chercher ; look for /  seek

cheval ; horse

cheval entier ; stallion

cheval hongre ; gelding

chevaucher ; ride

cheveu ; hair

cheveux ; hair /  hairs

cheville ; ankle

chevreuil ; roe

chewing‐gum ; chewing‐gum

chez ; at /  beside /  with

chicaner ; carp at /  haze /  quibble

chien ; dog

chiendent ; couch‐grass

chiffon ; rag /  scrap

chiffre ; cipher /  digit /  figure /  numeral

chilien ; Chilean

chimie ; chemistry

chimiste ; chemist

chimère ; chimera

chirurgie ; surgery

chirurgien ; surgeon

chlore ; chlorine

chlorure de polyvinyle ; polyvinyl chloride /  PVC

choc ; collision ; shock

chocolat ; chocolate

choisir ; choose /  elect /  pick out

choix ; choice /  election

choléra ; cholera

choquer ; shock

chose ; affair /  business /  business deal /  case /  matter ; thing ; article /  object /  thing

choses ; stuff /  things

chou‐fleur ; cauliflower

chou ; cabbage

chouette ; owl

choyer ; coddle /  pamper /  pet

chrome ; chromium

chrétien ; Christian

chuchoter ; whisper

chute ; fall

chypriote ; Cypriot /  Cypriote

chœur ; chorus /  coir

chèque ; check /  cheque

chèvre ; she‐goat ; goat

chèvrefeuille ; honeysuckle

châle ; shawl

châtaigne ; chestnut /  horse‐chestnut

châtaignier ; chestnut‐tree

château ; castle

chêne ; oak

ciboulette ; chive

cicatrice ; scar

cidre ; cider

ciel ; heaven /  sky

cigare ; cigar

cigarette ; cigarette

cigogne ; stork

cime ; acme ; peak /  point /  tip /  summit

ciment ; cement

cimetière ; cemetery /  God's acre /  graveyard

cinq ; five

cinquante ; fifty

cinéma ; cinema

circonstance ; circumstance

circulaire ; circular

circulation ; circulation /  traffic ; traffic

circuler ; be about /  circulate ; circumvent /  go around

cire ; wax

cire d'abeilles ; beeswax

cirque ; circus

ciseau ; chisel

ciseaux ; scissors

ciseler ; carve /  chisel

citation ; citation /  quotation

citer ; cite /  quote

citerne ; cistern /  tank

citoyen ; citizen

citron ; lemon

cité ; city /  town

civil ; civil /  civilian /  non‐military

clair ; bright /  clear /  light ; clear /  distinct /  plain ; bright /  light

clairon ; clarion

clamer ; yell

clameur ; scream

clapoter ; lap /  plash /  splash

claquer ; clap /  click /  rattle

classe ; class

classique ; classic /  classical

clavier ; keyboard

clef ; key /  wrench ; adjustable wrench /  spanner

client ; client /  customer

climat ; climate

climatisé ; air conditioned

clique ; suite /  train

cloaque ; sewer

cloche ; bell

clochette ; bell /  little bell

cloche de plongée ; diving‐bell

cloison ; wall

clou ; nail

clouer ; nail

clown ; clown

club ; club /  society

clébard ; monster ; dog

cobaye ; guinea‐pig

cobra ; cobra

